Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld,ln_Gross Metro Product,ln_Total Households,ln_Total Population,ln_Total Real Personal Income,ln_Disposable Real Pers Income,ln_Persons Per Household,ln_Res SF Permits,ln_Res MF Permits,ln_Total Res Permits,ln_Employment Tot Non Agric,ln_Total Employed,ln_CPI Index,ln_Fla - Gross State Product,ln_Fla - Nbr of Households,ln_Fla - Total Population,ln_Fla -Total Real Personal Income,ln_Fla - Dis Real Personal Income,ln_Fla Total RealPers Inc per Hsld,ln_Fla - Emplymt Tot NonAgricultur,ln_Fla - Tot Resid Permits,ln_Fla - Persons Per Hsld
1980,80Q1,2009-01-01,6.9876,,,,,,,,,,,,,,,,,,,,,1.9441371496489375,,,,,,,,,,,,,,,,,,,,
1980,80Q2,2009-01-01,7.09879,,,,,,,,,,,,,,,,,,,,,1.9599243469884882,,,,,,,,,,,,,,,,,,,,
1980,80Q3,2009-01-01,7.25138,,,,,,,,,,,,,,,,,,,,,1.9811917955808913,,,,,,,,,,,,,,,,,,,,
1980,80Q4,2009-01-01,7.47957,,,,,,,,,,,,,,,,,,,,,2.01217530370295,,,,,,,,,,,,,,,,,,,,
1981,81Q1,2009-01-01,7.68399,,,,,,,,,,,,,,,,,,,,,2.039138943499945,,,,,,,,,,,,,,,,,,,,
1981,81Q2,2009-01-01,7.86075,,,,,,,,,,,,,,,,,,,,,2.0618820217362592,,,,,,,,,,,,,,,,,,,,
1981,81Q3,2009-01-01,7.91044,,,,,,,,,,,,,,,,,,,,,2.0681834060226447,,,,,,,,,,,,,,,,,,,,
1981,81Q4,2009-01-01,7.98435,,,,,,,,,,,,,,,,,,,,,2.077483375723671,,,,,,,,,,,,,,,,,,,,
1982,82Q1,2009-01-01,8.00928,,,,,,,,,,,,,,,,,,,,,2.0806008693996825,,,,,,,,,,,,,,,,,,,,
1982,82Q2,2009-01-01,7.95263,,,,,,,,,,,,,,,,,,,,,2.073502691568223,,,,,,,,,,,,,,,,,,,,
1982,82Q3,2009-01-01,7.85593,,,,,,,,,,,,,,,,,,,,,2.0612686606255015,,,,,,,,,,,,,,,,,,,,
1982,82Q4,2009-01-01,7.79883,,,,,,,,,,,,,,,,,,,,,2.053973722444421,,,,,,,,,,,,,,,,,,,,
1983,83Q1,2009-01-01,7.73233,,,,,,,,,,,,,,,,,,,,,2.0454102402077035,,,,,,,,,,,,,,,,,,,,
1983,83Q2,2009-01-01,7.80634,,,,,,,,,,,,,,,,,,,,,2.0549362240486686,,,,,,,,,,,,,,,,,,,,
1983,83Q3,2009-01-01,7.94151,,,,,,,,,,,,,,,,,,,,,2.072103433500238,,,,,,,,,,,,,,,,,,,,
1983,83Q4,2009-01-01,7.98778,,,,,,,,,,,,,,,,,,,,,2.077912873862332,,,,,,,,,,,,,,,,,,,,
1984,84Q1,2009-01-01,8.04277,,,,,,,,,,,,,,,,,,,,,2.0847735512181353,,,,,,,,,,,,,,,,,,,,
1984,84Q2,2009-01-01,8.10618,,,,,,,,,,,,,,,,,,,,,2.0926267337330735,,,,,,,,,,,,,,,,,,,,
1984,84Q3,2009-01-01,8.13407,,,,,,,,,,,,,,,,,,,,,2.096061413299982,,,,,,,,,,,,,,,,,,,,
1984,84Q4,2009-01-01,8.15766,,,,,,,,,,,,,,,,,,,,,2.098957363145273,,,,,,,,,,,,,,,,,,,,
1985,85Q1,2009-01-01,8.27951,,,,,,,,,,,,,,,,,,,,,2.113783787902076,,,,,,,,,,,,,,,,,,,,
1985,85Q2,2009-01-01,8.32087,,,,,,,,,,,,,,,,,,,,,2.1187668166740297,,,,,,,,,,,,,,,,,,,,
1985,85Q3,2009-01-01,8.33576,,,,,,,,,,,,,,,,,,,,,2.1205546938096003,,,,,,,,,,,,,,,,,,,,
1985,85Q4,2009-01-01,8.43714,,,,,,,,,,,,,,,,,,,,,2.1326433886217333,,,,,,,,,,,,,,,,,,,,
1986,86Q1,2009-01-01,8.34927,,,,,,,,,,,,,,,,,,,,,2.1221741098912625,,,,,,,,,,,,,,,,,,,,
1986,86Q2,2009-01-01,8.35973,,,,,,,,,,,,,,,,,,,,,2.1234261299243444,,,,,,,,,,,,,,,,,,,,
1986,86Q3,2009-01-01,8.42488,,,,,,,,,,,,,,,,,,,,,2.131189232813546,,,,,,,,,,,,,,,,,,,,
1986,86Q4,2009-01-01,8.4782,,,,,,,,,,,,,,,,,,,,,2.137498163121645,,,,,,,,,,,,,,,,,,,,
1987,87Q1,2009-01-01,8.55315,,,,,,,,,,,,,,,,,,,,,2.146299636150929,,,,,,,,,,,,,,,,,,,,
1987,87Q2,2009-01-01,8.65998,,,,,,,,,,,,,,,,,,,,,2.1587124131028546,,,,,,,,,,,,,,,,,,,,
1987,87Q3,2009-01-01,8.71721,,,,,,,,,,,,,,,,,,,,,2.165299232596205,,,,,,,,,,,,,,,,,,,,
1987,87Q4,2009-01-01,8.67743,,,,,,,,,,,,,,,,,,,,,2.1607254018817397,,,,,,,,,,,,,,,,,,,,
1988,88Q1,2009-01-01,8.76252,,,,,,,,,,,,,,,,,,,,,2.1704835348117415,,,,,,,,,,,,,,,,,,,,
1988,88Q2,2009-01-01,8.84386,,,,,,,,,,,,,,,,,,,,,2.179723432928702,,,,,,,,,,,,,,,,,,,,
1988,88Q3,2009-01-01,8.96084,,,,,,,,,,,,,,,,,,,,,2.1928639725925825,,,,,,,,,,,,,,,,,,,,
1988,88Q4,2009-01-01,9.08011,,,,,,,,,,,,,,,,,,,,,2.2060863070772663,,,,,,,,,,,,,,,,,,,,
1989,89Q1,2009-01-01,9.24589,,,,,,,,,,,,,,,,,,,,,2.224179128458707,,,,,,,,,,,,,,,,,,,,
1989,89Q2,2009-01-01,9.36676,,,,,,,,,,,,,,,,,,,,,2.2371672520347574,,,,,,,,,,,,,,,,,,,,
1989,89Q3,2009-01-01,9.44201,,,,,,,,,,,,,,,,,,,,,2.2451688812211827,,,,,,,,,,,,,,,,,,,,
1989,89Q4,2009-01-01,9.48746,,,,,,,,,,,,,,,,,,,,,2.2499709266390795,,,,,,,,,,,,,,,,,,,,
1990,90Q1,2009-01-01,9.51577,,,,,,,,,,,,,,,,,,,,,2.2529504223293646,,,,,,,,,,,,,,,,,,,,
1990,90Q2,2009-01-01,9.44768,,,,,,,,,,,,,,,,,,,,,2.245769208719441,,,,,,,,,,,,,,,,,,,,
1990,90Q3,2009-01-01,9.48294,,,,,,,,,,,,,,,,,,,,,2.2494943947699007,,,,,,,,,,,,,,,,,,,,
1990,90Q4,2009-01-01,9.41602,,,,,,,,,,,,,,,,,,,,,2.2424124939999,,,,,,,,,,,,,,,,,,,,
1991,91Q1,2009-01-01,9.35937,,,,,,,,,,,,,,,,,,,,,2.2363779805319286,,,,,,,,,,,,,,,,,,,,
1991,91Q2,2009-01-01,9.34674,,,,,,,,,,,,,,,,,,,,,2.23502761940188,,,,,,,,,,,,,,,,,,,,
1991,91Q3,2009-01-01,9.30708,,,,,,,,,,,,,,,,,,,,,2.230775400847301,,,,,,,,,,,,,,,,,,,,
1991,91Q4,2009-01-01,9.32527,,,,,,,,,,,,,,,,,,,,,2.2327279195343004,,,,,,,,,,,,,,,,,,,,
1992,92Q1,2009-01-01,9.33426,,,,,,,,,,,,,,,,,,,,,2.2336915022928796,,,,,,,,,,,,,,,,,,,,
1992,92Q2,2009-01-01,9.40075,,,,,,,,,,,,,,,,,,,,,2.240789473327169,,,,,,,,,,,,,,,,,,,,
1992,92Q3,2009-01-01,9.39854,,,,,,,,,,,,,,,,,,,,,2.240554358063754,,,,,,,,,,,,,,,,,,,,
1992,92Q4,2009-01-01,9.45136,,,,,,,,,,,,,,,,,,,,,2.246158646494747,,,,,,,,,,,,,,,,,,,,
1993,93Q1,2009-01-01,9.5,,,,,,,,,,,,,,,,,,,,,2.2512917986064953,,,,,,,,,,,,,,,,,,,,
1993,93Q2,2009-01-01,9.47583,,,,,,,,,,,,,,,,,,,,,2.2487443460765175,,,,,,,,,,,,,,,,,,,,
1993,93Q3,2009-01-01,9.46503,,,,,,,,,,,,,,,,,,,,,2.247603954228371,,,,,,,,,,,,,,,,,,,,
1993,93Q4,2009-01-01,9.56224,,,,,,,,,,,,,,,,,,,,,2.2578220092405283,,,,,,,,,,,,,,,,,,,,
1994,94Q1,2009-01-01,9.68603,,,,,,,,,,,,,,,,,,,,,2.2706846412300092,,,,,,,,,,,,,,,,,,,,
1994,94Q2,2009-01-01,9.84176,,,,,,,,,,,,,,,,,,,,,2.2866345568589175,,,,,,,,,,,,,,,,,,,,
1994,94Q3,2009-01-01,10.02117,,,,,,,,,,,,,,,,,,,,,2.304699855307111,,,,,,,,,,,,,,,,,,,,
1994,94Q4,2009-01-01,9.9908,,,,,,,,,,,,,,,,,,,,,2.3016646695343037,,,,,,,,,,,,,,,,,,,,
1995,95Q1,2009-01-01,9.96865,,,,,,,,,,,,,,,,,,,,,2.2994451685868413,,,,,,,,,,,,,,,,,,,,
1995,95Q2,2009-01-01,9.98991,,,,,,,,,,,,,,,,,,,,,2.301575583610872,,,,,,,,,,,,,,,,,,,,
1995,95Q3,2009-01-01,10.03686,,,,,,,,,,,,,,,,,,,,,2.30626431634343,,,,,,,,,,,,,,,,,,,,
1995,95Q4,2009-01-01,10.21142,,,,,,,,,,,,,,,,,,,,,2.3235067018399267,,,,,,,,,,,,,,,,,,,,
1996,96Q1,2009-01-01,10.34966,,,,,,,,,,,,,,,,,,,,,2.336953668930251,,,,,,,,,,,,,,,,,,,,
1996,96Q2,2009-01-01,10.47555,,,,,,,,,,,,,,,,,,,,,2.3490439703963983,,,,,,,,,,,,,,,,,,,,
1996,96Q3,2009-01-01,10.55998,,,,,,,,,,,,,,,,,,,,,2.357071384336928,,,,,,,,,,,,,,,,,,,,
1996,96Q4,2009-01-01,10.5599,,,,,,,,,,,,,,,,,,,,,2.357063808536308,,,,,,,,,,,,,,,,,,,,
1997,97Q1,2009-01-01,10.53373,,,,,,,,,,,,,,,,,,,,,2.3545824894435516,,,,,,,,,,,,,,,,,,,,
1997,97Q2,2009-01-01,10.62984,,,,,,,,,,,,,,,,,,,,,2.3636651405002205,,,,,,,,,,,,,,,,,,,,
1997,97Q3,2009-01-01,10.73576,,,,,,,,,,,,,,,,,,,,,2.3735802252849703,,,,,,,,,,,,,,,,,,,,
1997,97Q4,2009-01-01,10.83443,,,,,,,,,,,,,,,,,,,,,2.3827290263133243,,,,,,,,,,,,,,,,,,,,
1998,98Q1,2009-01-01,11.04984,,,,,,,,,,,,,,,,,,,,,2.4024159482209217,,,,,,,,,,,,,,,,,,,,
1998,98Q2,2009-01-01,11.18861,,,,,,,,,,,,,,,,,,,,,2.4148962965563006,,,,,,,,,,,,,,,,,,,,
1998,98Q3,2009-01-01,11.29221,,,,,,,,,,,,,,,,,,,,,2.4241131074552986,,,,,,,,,,,,,,,,,,,,
1998,98Q4,2009-01-01,11.44659,,,,,,,,,,,,,,,,,,,,,2.4376918690501936,,,,,,,,,,,,,,,,,,,,
1999,99Q1,2009-01-01,11.45957,,,,,,,,,,,,,,,,,,,,,2.4388251887676238,,,,,,,,,,,,,,,,,,,,
1999,99Q2,2009-01-01,11.55622,,,,,,,,,,,,,,,,,,,,,2.4472238201520917,,,,,,,,,,,,,,,,,,,,
1999,99Q3,2009-01-01,11.54039,,,,,,,,,,,,,,,,,,,,,2.4458530560028326,,,,,,,,,,,,,,,,,,,,
1999,99Q4,2009-01-01,11.61514,,,,,,,,,,,,,,,,,,,,,2.452309419528982,,,,,,,,,,,,,,,,,,,,
2000,00Q1,2009-01-01,11.71762,,,,,,,,,,,,,,,,,,,,,2.4610936918546678,,,,,,,,,,,,,,,,,,,,
2000,00Q2,2009-01-01,11.95756,,,,,,,,,,,,,,,,,,,,,2.4813637143309992,,,,,,,,,,,,,,,,,,,,
2000,00Q3,2009-01-01,12.10287,,,,,,,,,,,,,,,,,,,,,2.4934426145602195,,,,,,,,,,,,,,,,,,,,
2000,00Q4,2009-01-01,12.10219,,,,,,,,,,,,,,,,,,,,,2.4933864279612044,,,,,,,,,,,,,,,,,,,,
2001,01Q1,2009-01-01,12.17711,,,,,,,,,,,,,,,,,,,,,2.4995579599077367,,,,,,,,,,,,,,,,,,,,
2001,01Q2,2009-01-01,12.13513,,,,,,,,,,,,,,,,,,,,,2.496104551935357,,,,,,,,,,,,,,,,,,,,
2001,01Q3,2009-01-01,12.2175,,,,,,,,,,,,,,,,,,,,,2.5028693501621726,,,,,,,,,,,,,,,,,,,,
2001,01Q4,2009-01-01,12.34159,,,,,,,,,,,,,,,,,,,,,2.512974859447552,,,,,,,,,,,,,,,,,,,,
2002,02Q1,2009-01-01,12.40352,,,,,,,,,,,,,,,,,,,,,2.5179803032949932,,,,,,,,,,,,,,,,,,,,
2002,02Q2,2009-01-01,12.49301,,,,,,,,,,,,,,,,,,,,,2.5251692878976226,,,,,,,,,,,,,,,,,,,,
2002,02Q3,2009-01-01,12.63258,,,,,,,,,,,,,,,,,,,,,2.5362791910354354,,,,,,,,,,,,,,,,,,,,
2002,02Q4,2009-01-01,12.74055,,,,,,,,,,,,,,,,,,,,,2.544789820326771,,,,,,,,,,,,,,,,,,,,
2003,03Q1,2009-01-01,12.73771,,,,,,,,,,,,,,,,,,,,,2.5445668851646555,,,,,,,,,,,,,,,,,,,,
2003,03Q2,2009-01-01,12.93754,,,,,,,,,,,,,,,,,,,,,2.5601331628082478,,,,,,,,,,,,,,,,,,,,
2003,03Q3,2009-01-01,13.05381,,,,,,,,,,,,,,,,,,,,,2.5690800451814084,,,,,,,,,,,,,,,,,,,,
2003,03Q4,2009-01-01,13.11592,,,,,,,,,,,,,,,,,,,,,2.573826759543245,,,,,,,,,,,,,,,,,,,,
2004,04Q1,2009-01-01,13.32979,,,,,,,,,,,,,,,,,,,,,2.590001380128038,,,,,,,,,,,,,,,,,,,,
2004,04Q2,2009-01-01,13.33722,,,,,,,,,,,,,,,,,,,,,2.5905586229679565,,,,,,,,,,,,,,,,,,,,
2004,04Q3,2009-01-01,13.41477,,,,,,,,,,,,,,,,,,,,,2.5963563387436555,,,,,,,,,,,,,,,,,,,,
2004,04Q4,2009-01-01,13.7906,,,,,,,,,,,,,,,,,,,,,2.6239872006483895,,,,,,,,,,,,,,,,,,,,
2005,05Q1,2009-01-01,14.12642,,,,,,,,,,,,,,,,,,,,,2.6480468029530564,,,,,,,,,,,,,,,,,,,,
2005,05Q2,2009-01-01,14.43199,,,,,,,,,,,,,,,,,,,,,2.6694472704153713,,,,,,,,,,,,,,,,,,,,
2005,05Q3,2009-01-01,14.66066,,,,,,,,,,,,,,,,,,,,,2.6851677159089617,,,,,,,,,,,,,,,,,,,,
2005,05Q4,2009-01-01,14.76632,,,,,,,,,,,,,,,,,,,,,2.6923489118094395,,,,,,,,,,,,,,,,,,,,
2006,06Q1,2009-01-01,14.87367,,,,,,,,,,,,,,,,,,,,,2.6995925356695176,,,,,,,,,,,,,,,,,,,,
2006,06Q2,2009-01-01,14.98156,,,,,,,,,,,,,,,,,,,,,2.706820111518802,,,,,,,,,,,,,,,,,,,,
2006,06Q3,2009-01-01,15.08334,,,,,,,,,,,,,,,,,,,,,2.713590823466678,,,,,,,,,,,,,,,,,,,,
2006,06Q4,2009-01-01,15.05502,,,,,,,,,,,,,,,,,,,,,2.71171149039512,,,,,,,,,,,,,,,,,,,,
2007,07Q1,2009-01-01,15.10842,,,,,,,,,,,,,,,,,,,,,2.715252204304946,,,,,,,,,,,,,,,,,,,,
2007,07Q2,2009-01-01,15.13502,,,,,,,,,,,,,,,,,,,,,2.7170112639131787,,,,,,,,,,,,,,,,,,,,
